STATUS,START_TS,END_TS,FIRST_TS,LAST_TS,TS
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-01 00:00,2018-06-01 23:59,2018-06-02 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-02 00:00,2018-06-02 23:59,2018-06-03 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-03 00:00,2018-06-03 23:59,2018-06-04 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-04 00:00,2018-06-04 23:59,2018-06-05 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-05 00:00,2018-06-05 23:59,2018-06-06 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-06 00:00,2018-06-06 23:59,2018-06-07 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-07 00:00,2018-06-07 23:59,2018-06-08 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-08 00:00,2018-06-08 23:59,2018-06-09 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-09 00:00,2018-06-09 23:59,2018-06-10 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-10 00:00,2018-06-10 23:59,2018-06-11 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-11 00:00,2018-06-11 23:59,2018-06-12 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-12 00:00,2018-06-12 23:59,2018-06-13 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-13 00:00,2018-06-13 23:59,2018-06-14 00:00
0,2022-12-20 11:59,2022-12-20 11:59,2018-06-14 00:00,2018-06-14 23:59,2018-06-15 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-15 00:00,2018-06-15 23:59,2018-06-16 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-16 00:00,2018-06-16 23:59,2018-06-17 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-17 00:00,2018-06-17 23:59,2018-06-18 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-18 00:00,2018-06-18 23:59,2018-06-19 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-19 00:00,2018-06-19 23:59,2018-06-20 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-20 00:00,2018-06-20 23:59,2018-06-21 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-21 00:00,2018-06-21 23:59,2018-06-22 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-22 00:00,2018-06-22 23:59,2018-06-23 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-23 00:00,2018-06-23 23:59,2018-06-24 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-24 00:00,2018-06-24 23:59,2018-06-25 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-25 00:00,2018-06-25 23:59,2018-06-26 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-26 00:00,2018-06-26 23:59,2018-06-27 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-27 00:00,2018-06-27 23:59,2018-06-28 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-28 00:00,2018-06-28 23:59,2018-06-29 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-29 00:00,2018-06-29 23:59,2018-06-30 00:00
0,2022-12-20 12:00,2022-12-20 12:00,2018-06-30 00:00,2018-06-30 23:59,2018-07-01 00:00
